19,12,8,18,8,7,17,7
16,8,6,12,6,14,3,12
10,9,25,8,25,4,7,2
17,10,19,11,12,8,12,12
18,6,17,9,13,13,7,5
12,18,9,5,19,9,6,10
16,10,12,8,18,4,13,5
19,18,9,25,15,10,5,23
11,17,20,11,5,10,9,5
18,16,6,15,12,13,15,13
18,15,18,8,16,13,8,5
11,6,8,7,15,5,12,7
15,13,9,12,18,6,11,4
16,9,13,12,8,13,12,6
25,6,15,17,11,13,4,18
17,18,12,8,10,5,6,3
19,12,9,9,12,19,12,5
14,8,13,14,14,12,11,3
12,11,13,13,6,8,5,20
14,9,7,7,7,11,12,2
15,5,9,10,16,10,7,18
15,8,18,16,9,9,8,6
13,25,12,17,16,10,11,7
15,11,16,13,13,4,14,20
15,15,14,16,15,12,12,3
17,8,17,11,8,12,16,7
15,7,7,11,14,3,10,3
15,12,9,15,18,14,13,15
19,12,15,6,7,7,16,14
16,17,20,6,9,3,3,8
16,8,14,16,17,14,4,17
19,9,13,15,6,14,14,13
11,14,19,6,15,13,15,6
10,13,11,12,6,12,18,7
21,7,10,18,10,5,10,5
15,10,14,6,12,3,14,14
22,16,15,16,16,6,14,10
13,17,16,10,9,5,16,19
23,13,15,9,17,9,12,8
16,16,19,17,10,4,4,5
15,11,25,5,14,13,13,14
17,11,18,14,9,8,13,13
16,15,19,12,18,8,14,12
19,6,12,18,15,6,6,6
24,6,18,25,20,8,14,6
16,16,6,20,15,4,7,14
14,15,14,25,11,8,15,6
10,6,19,6,18,13,10,21
19,12,10,15,14,4,15,20
16,18,12,15,11,5,12,7
14,6,16,11,15,13,16,3
17,16,5,4,5,3,10,4
14,10,20,8,12,14,9,13
15,9,11,10,9,6,9,7
16,17,15,18,6,13,11,8
13,5,16,10,12,3,25,4
16,14,16,20,8,6,5,17
19,12,14,10,8,14,6,3
24,10,9,12,15,5,4,13
22,13,8,10,18,12,9,24
18,13,6,11,11,7,7,1
25,25,25,5,12,7,4,5
19,14,12,17,7,2,2,7
17,4,4,7,6,15,3,4
19,14,9,7,13,9,2,6
12,5,18,9,5,3,3,3
9,17,15,8,9,3,2,7
20,18,15,13,15,10,15,10
16,16,12,6,8,14,7,3
18,15,16,14,2,7,5,8
18,15,15,16,11,4,5,4
19,25,18,6,2,5,4,3
13,12,8,7,4,7,3,9
15,9,11,4,6,4,4,1
12,13,10,4,12,4,1,7
9,8,12,11,11,11,10,10
13,19,14,17,5,13,5,11
13,19,6,9,12,6,5,13
18,12,7,6,7,4,1,2
9,19,16,11,8,9,1,12
18,19,9,6,11,12,3,6
12,10,6,7,6,0,6,4
16,15,13,6,12,9,2,3
14,13,5,3,7,14,1,5
17,25,15,10,10,12,11,15
13,11,14,10,13,11,10,12
18,12,8,14,16,10,2,11
15,13,7,7,4,5,3,4
20,18,9,5,4,7,3,8
14,15,17,4,14,13,5,4
13,7,6,9,4,7,6,4
19,15,15,6,8,8,4,5
11,8,6,12,10,5,2,7
10,6,10,11,4,5,2,7
14,18,12,17,14,4,2,3
15,9,6,7,6,3,1,9
16,13,9,7,10,6,4,9
15,16,7,14,4,4,4,10
19,9,10,6,13,5,1,6
25,25,5,5,8,10,3,5
18,7,9,10,4,12,2,9
19,6,4,11,6,3,6,5
12,16,6,4,14,3,5,9
18,14,6,10,7,9,1,5
16,18,5,14,5,12,7,8
14,9,11,10,10,7,4,8
19,10,8,13,5,2,5,4
10,5,14,15,2,7,6,5
12,7,11,7,7,8,3,6
16,10,5,15,1,4,4,7
15,4,5,5,9,4,3,7
20,15,12,8,9,6,1,5
21,17,9,11,2,7,5,2
15,25,6,13,4,2,4,6
16,15,3,13,5,12,2,9
16,5,8,8,6,9,5,6
14,14,8,17,4,2,6,7
19,10,5,10,9,5,4,7
18,13,2,17,4,9,6,4
16,18,9,9,4,7,5,5